,bollinger_daily,williams_r_daily,bollinger,williams_r
123,-0.0046693109158389,-0.0,-0.07879499104584926,-0.16198511267589547
124,0.010016301409100226,0.0,-0.06877868963674903,-0.16198511267589547
125,0.0,-0.012526852903678797,-0.06877868963674903,-0.17451196557957427
126,0.0,-0.0015563656364687508,-0.06877868963674903,-0.176068331216043
127,-0.0,0.010803952295425552,-0.06877868963674903,-0.16526437892061746
128,0.0,-0.009091469195329155,-0.06877868963674903,-0.17435584811594662
129,-0.01414050594057488,-0.01414050594057488,-0.08291919557732391,-0.1884963540565215
130,-0.0025931667170629824,-0.0025931667170629824,-0.0855123622943869,-0.19108952077358446
131,-0.0014198669823679096,-0.0014198669823679096,-0.08693222927675481,-0.19250938775595236
132,-0.0027545562068149463,-0.0027545562068149463,-0.08968678548356976,-0.1952639439627673
133,-0.008458349828372212,-0.008458349828372212,-0.09814513531194197,-0.2037222937911395
134,-0.0016733645811392295,-0.0016733645811392295,-0.0998184998930812,-0.20539565837227874
135,-0.0013637590086152949,-0.0013637590086152949,-0.10118225890169649,-0.20675941738089404
136,0.00524253265538808,0.00524253265538808,-0.09593972624630841,-0.20151688472550597
137,-0.0012549653028294814,-0.0012549653028294814,-0.09719469154913789,-0.20277185002833545
138,-0.0013381862193743111,-0.0013381862193743111,-0.0985328777685122,-0.20411003624770976
139,0.0019262115795105775,0.0019262115795105775,-0.09660666618900163,-0.20218382466819917
140,0.005894814299764841,0.005894814299764841,-0.09071185188923679,-0.19628901036843432
141,-0.0005539217023858081,-0.0005539217023858081,-0.0912657735916226,-0.19684293207082013
142,0.005277207850030379,-0.0,-0.08598856574159222,-0.19684293207082013
143,-0.006078141257431043,0.0,-0.09206670699902327,-0.19684293207082013
144,0.0029510456797768913,-0.0,-0.08911566131924638,-0.19684293207082013
145,-0.0,-0.002635410584105533,-0.08911566131924638,-0.19947834265492567
146,0.0,0.003601013413372348,-0.08911566131924638,-0.19587732924155332
147,-0.0,-0.012772344253696034,-0.08911566131924638,-0.20864967349524935
148,-0.0186060735802042,-0.0186060735802042,-0.10772173489945058,-0.22725574707545354
