,Date,term_5,term_15,term_40,acc_dist_index,chaikin_money_flow,ease_of_move,williams_r,rel_strength,predict_term_5,predict_term_15,predict_term_40
30,2019-04-15,4.0,2.0,0.0,1833394603.7946553,0.16931418404441578,-110.9922510640663,-9.677182012423824,62.698968202720714,4.0,2.0,0.0
31,2019-04-16,3.0,2.0,0.0,1782265318.4354136,0.1926556642893564,4121.06081021059,-8.181239187809224,64.48722954509465,4.0,1.0,0.0
32,2019-04-17,3.0,1.0,0.0,1803151561.7558768,0.21898265884141033,-519.7332658140637,-10.69400438990789,64.33453032947449,4.0,2.0,0.0
33,2019-04-18,3.0,1.0,0.0,1955206853.9891937,0.20246580511275317,3654.237159304761,-7.9433995230501315,67.27559472794519,2.0,1.0,0.0
34,2019-04-22,3.0,1.0,0.0,1980919691.7700815,0.28361033373212685,-716.5043279622406,-16.92553701342447,64.74124575684604,3.0,1.0,0.0
35,2019-04-23,3.0,1.0,0.0,2164401324.584344,0.3028326229806252,5798.163745695791,-6.247571131679222,68.5639402232301,2.0,1.0,0.0
36,2019-04-24,2.0,0.0,0.0,1963335626.9071884,0.2727314618208242,1102.1118627552482,-15.616462449896973,65.4441878309754,2.0,0.0,0.0
37,2019-04-25,3.0,1.0,0.0,2064869220.7639341,0.27994020637658196,-15882.019578950296,-36.92635486526004,58.881510648183145,3.0,1.0,0.0
38,2019-04-26,2.0,1.0,0.0,2381190729.4365244,0.3035247889799209,2126.2817177883553,-24.098172461610744,61.39144335742583,2.0,1.0,0.0
39,2019-04-29,2.0,0.0,0.0,2331621695.2649755,0.25385242962795573,2739.1466433411338,-22.351873964568178,61.73387778316225,2.0,0.0,0.0
40,2019-04-30,1.0,0.0,0.0,2598028472.7040205,0.25798930352443006,-2566.439110682218,-16.270205571425876,62.96580678715912,2.0,0.0,0.0
41,2019-05-01,1.0,0.0,0.0,2302865648.9598694,0.19631222558280798,3560.2499073724975,-41.9691252095334,54.919855073925305,1.0,1.0,0.0
42,2019-05-02,1.0,1.0,0.0,2282452389.4761333,0.18688582512854,-22926.303148080046,-75.2852415729701,49.77143545780451,1.0,1.0,0.0
43,2019-05-03,1.0,1.0,0.0,2440737149.9587097,0.17944605328916483,8942.450481849088,-37.04638131816408,56.799387049457046,1.0,1.0,0.0
44,2019-05-06,1.0,1.0,0.0,2675398259.2661223,0.22185541769662462,-30853.33649698449,-38.893642245487946,54.05348688980767,1.0,1.0,0.0
45,2019-05-07,1.0,0.0,0.0,2581596668.3572884,0.16503225638733787,-32260.696048142803,-80.64784551724141,39.43236376957724,1.0,0.0,0.0
46,2019-05-08,2.0,1.0,1.0,2493542369.4108343,0.163170107316698,-2444.8128302116174,-80.40064662068978,39.5157432033109,1.0,1.0,6.0
47,2019-05-09,2.0,1.0,1.0,2725312430.635324,0.1972887044981839,-33221.03558146119,-73.6147476852696,36.18767387028708,1.0,1.0,1.0
48,2019-05-10,2.0,1.0,5.0,2937381466.084668,0.23097563704614618,8104.299708625549,-61.46242893614804,40.60704632351694,2.0,1.0,6.0
49,2019-05-13,4.0,1.0,6.0,2790408332.276664,0.16925422810860002,-33413.38344574351,-93.01371619232943,28.92490585700577,4.0,1.0,6.0
50,2019-05-14,4.0,2.0,6.0,2781909140.695236,0.15597233106417724,14768.112181340606,-78.8980128897448,35.61505234072422,4.0,1.0,6.0
51,2019-05-15,4.0,2.0,6.0,2943944037.8474,0.19202316807037506,-435.69749944355726,-70.9922072335172,39.07403885375411,4.0,2.0,6.0
52,2019-05-16,2.0,1.0,6.0,3035324760.875889,0.20526435717641453,24109.74093616398,-56.3584243644709,44.967604132257335,2.0,1.0,6.0
53,2019-05-17,2.0,1.0,6.0,2958748493.977102,0.16855566136883146,-2217.4778872857905,-63.08560260306355,42.912560040531254,1.0,1.0,6.0
54,2019-05-20,2.0,1.0,6.0,3028271451.133022,0.17453651860146713,-10060.518321800075,-68.81882963555759,41.18508320808045,2.0,1.0,6.0
55,2019-05-21,1.0,1.0,6.0,3197072221.1261415,0.1735598840562758,8315.289341046975,-50.107072554935584,46.6179177970554,1.0,1.0,6.0
56,2019-05-22,1.0,1.0,6.0,3039760216.7486186,0.18218762151765897,-1134.4374463104793,-57.7813161612709,44.366356793480584,1.0,1.0,6.0
57,2019-05-23,1.0,1.0,6.0,3034823423.343194,0.16360760028257543,-33685.36803475384,-78.6274102464414,38.6545445355171,1.0,1.0,6.0
58,2019-05-24,1.0,1.0,6.0,3039862109.5962644,0.11331746788190859,7844.360022222878,-65.55549024136788,41.36002571878356,1.0,1.0,6.0
59,2019-05-28,1.0,1.0,6.0,2691383639.2310476,0.06105783864397066,-5599.198519261651,-86.01371359907336,36.97237105913405,1.0,6.0,6.0
60,2019-05-29,2.0,6.0,6.0,2776121199.240023,0.03043924661685017,-43660.3405640424,-82.59426535728971,33.42006248668146,2.0,6.0,6.0
61,2019-05-30,4.0,6.0,6.0,2853364548.25609,0.09553706503583215,4075.677655287849,-78.5732218838033,34.74600259888176,4.0,6.0,6.0
62,2019-05-31,5.0,6.0,6.0,2574781668.9851656,0.05069203028888467,-17400.426482157254,-99.51840532778658,29.569389497121776,6.0,6.0,6.0
63,2019-06-03,6.0,6.0,6.0,2605431441.4272103,0.02817160324874139,-9310.824398216888,-89.09926471379929,29.720023392866466,6.0,6.0,6.0
64,2019-06-04,6.0,6.0,6.0,2869981403.5523453,0.03329178245994238,46711.45470726713,-48.9758430013361,43.72985960943036,6.0,6.0,6.0
65,2019-06-05,5.0,6.0,6.0,3117012465.326456,0.09275316622477112,19919.515602686282,-32.73615726364747,48.22826423911235,5.0,6.0,6.0
66,2019-06-06,4.0,6.0,6.0,3225089915.4352217,0.1273556737094018,22762.00670576874,-17.984977123570314,51.84805940514605,4.0,5.0,6.0
67,2019-06-07,4.0,5.0,6.0,3334443259.609617,0.10738540594499878,30235.265950116118,-6.379244765451094,56.599184174031805,4.0,5.0,6.0
68,2019-06-10,3.0,5.0,6.0,3111859034.8652678,0.031006768835808045,13275.15629280369,-9.668360298799469,57.93595928093969,3.0,5.0,6.0
69,2019-06-11,4.0,4.0,5.0,2959116544.9306917,0.030566792102307182,-856.3956927450473,-12.764504800814251,57.59218029667684,4.0,4.0,6.0
70,2019-06-12,4.0,5.0,6.0,2902759588.051022,0.022168495970023558,-5705.37838727495,-15.550022361143268,56.479629639640855,4.0,5.0,6.0
71,2019-06-13,4.0,5.0,6.0,3002851987.099117,0.010920750751597704,3608.564583918092,-9.049194904142523,58.49477539793592,4.0,5.0,6.0
72,2019-06-14,5.0,5.0,6.0,3037304691.3695188,0.0003749023408794726,324.39835199935965,-10.143522706443276,58.00784810931926,4.0,5.0,6.0
73,2019-06-17,5.0,5.0,5.0,3053609130.6743093,0.01825320654640467,1895.5058418568167,-8.681885967690652,58.50469513818786,4.0,5.0,6.0
