,symbol,Open,High,Low,Close,Volume,datetime_epoch,Date,Date_str,Daily_return,Cum_return,williams_r,wr_owned_short,wr_owned_long
0,AAPL,225.07,228.22,224.2,224.59,36187163,1569906000000,2019-10-01,10/01/2019,0.0,0.0,-90.29850746268622,,
1,AAPL,223.06,223.58,217.93,218.96,35767257,1569992400000,2019-10-02,10/02/2019,0.0,0.0,-89.9902818270165,,
2,AAPL,218.43,220.96,215.132,220.82,30352686,1570078800000,2019-10-03,10/03/2019,0.0,0.0,-56.54034229828858,,
3,AAPL,225.64,227.49,223.89,227.01,34755553,1570165200000,2019-10-04,10/04/2019,0.0,0.0,-9.245110024449943,,
4,AAPL,226.27,229.93,225.84,227.06,30889269,1570424400000,2019-10-07,10/07/2019,0.0,0.0,-19.394512771996244,,
5,AAPL,225.82,228.06,224.33,224.4,29282700,1570510800000,2019-10-08,10/08/2019,0.0,0.0,-37.369914853358566,,
6,AAPL,227.03,227.79,225.64,227.03,19029424,1570597200000,2019-10-09,10/09/2019,0.0,0.0,-19.59724287065823,,
7,AAPL,227.93,230.44,227.3,230.09,28962984,1570683600000,2019-10-10,10/10/2019,0.0,0.0,-2.28638620329236,,
8,AAPL,232.95,237.64,232.3075,236.21,41990210,1570770000000,2019-10-11,10/11/2019,0.0,0.0,-6.353296605651233,,
9,AAPL,234.9,238.1342,234.6701,235.87,24413484,1571029200000,2019-10-14,10/14/2019,0.0,0.0,-9.843406282877243,,
10,AAPL,236.39,237.65,234.88,235.32,23040483,1571115600000,2019-10-15,10/15/2019,0.0,0.0,-12.234481919120784,,
11,AAPL,233.37,235.24,233.2,234.37,19286694,1571202000000,2019-10-16,10/16/2019,0.0,0.0,-16.364521654450403,,
12,AAPL,235.09,236.15,233.52,235.28,17272897,1571288400000,2019-10-17,10/17/2019,0.0,0.0,-12.408378329029368,,
13,AAPL,234.59,237.58,234.29,236.41,24377166,1571374800000,2019-10-18,10/18/2019,0.0,0.0,-7.495804749110942,,
14,AAPL,237.52,240.99,237.32,240.51,22367483,1571634000000,2019-10-21,10/21/2019,0.0,0.0,-1.8562920566169778,1.0,0.0
15,AAPL,241.16,242.2,239.6218,239.96,22684001,1571720400000,2019-10-22,10/22/2019,0.0,0.0,-8.275454411112687,1.0,0.0
16,AAPL,242.1,243.24,241.22,243.18,19932545,1571806800000,2019-10-23,10/23/2019,0.0,0.0,-0.31007751937985634,1.0,0.0
17,AAPL,244.51,244.8,241.805,243.58,17916255,1571893200000,2019-10-24,10/24/2019,0.0,0.0,-5.959941377625789,1.0,0.0
