,symbol,Open,High,Low,Close,Volume,datetime_epoch,Date,Date_str,Daily_return,Cum_return,Average,StDev,bollinger_hi,bollinger_low,BB_owned_short,BB_owned_long
0,AAPL,225.07,228.22,224.2,224.59,36187163,1569906000000,2019-10-01,10/01/2019,0.0,0.0,,,,,,
1,AAPL,223.06,223.58,217.93,218.96,35767257,1569992400000,2019-10-02,10/02/2019,0.0,0.0,,,,,,
2,AAPL,218.43,220.96,215.132,220.82,30352686,1570078800000,2019-10-03,10/03/2019,0.0,0.0,,,,,,
3,AAPL,225.64,227.49,223.89,227.01,34755553,1570165200000,2019-10-04,10/04/2019,0.0,0.0,,,,,,
4,AAPL,226.27,229.93,225.84,227.06,30889269,1570424400000,2019-10-07,10/07/2019,0.0,0.0,,,,,,
5,AAPL,225.82,228.06,224.33,224.4,29282700,1570510800000,2019-10-08,10/08/2019,0.0,0.0,,,,,,
6,AAPL,227.03,227.79,225.64,227.03,19029424,1570597200000,2019-10-09,10/09/2019,0.0,0.0,,,,,,
7,AAPL,227.93,230.44,227.3,230.09,28962984,1570683600000,2019-10-10,10/10/2019,0.0,0.0,,,,,,
8,AAPL,232.95,237.64,232.3075,236.21,41990210,1570770000000,2019-10-11,10/11/2019,0.0,0.0,,,,,,
9,AAPL,234.9,238.1342,234.6701,235.87,24413484,1571029200000,2019-10-14,10/14/2019,0.0,0.0,,,,,,
10,AAPL,236.39,237.65,234.88,235.32,23040483,1571115600000,2019-10-15,10/15/2019,0.0,0.0,,,,,,
11,AAPL,233.37,235.24,233.2,234.37,19286694,1571202000000,2019-10-16,10/16/2019,0.0,0.0,,,,,,
12,AAPL,235.09,236.15,233.52,235.28,17272897,1571288400000,2019-10-17,10/17/2019,0.0,0.0,,,,,,
13,AAPL,234.59,237.58,234.29,236.41,24377166,1571374800000,2019-10-18,10/18/2019,0.0,0.0,,,,,,
14,AAPL,237.52,240.99,237.32,240.51,22367483,1571634000000,2019-10-21,10/21/2019,0.0,0.0,,,,,,
15,AAPL,241.16,242.2,239.6218,239.96,22684001,1571720400000,2019-10-22,10/22/2019,0.0,0.0,,,,,,
16,AAPL,242.1,243.24,241.22,243.18,19932545,1571806800000,2019-10-23,10/23/2019,0.0,0.0,,,,,,
17,AAPL,244.51,244.8,241.805,243.58,17916255,1571893200000,2019-10-24,10/24/2019,0.0,0.0,,,,,,
18,AAPL,243.16,246.73,242.88,246.58,18369296,1571979600000,2019-10-25,10/25/2019,0.0,0.0,,,,,,
19,AAPL,247.42,249.25,246.72,249.05,24143241,1572238800000,2019-10-28,10/28/2019,0.0,0.0,,,,,,
20,AAPL,248.97,249.75,242.57,243.29,35709867,1572325200000,2019-10-29,10/29/2019,0.0,0.0,234.26523809523812,8.610336009150643,251.4859101135394,217.04456607693683,0.0,0.0
21,AAPL,244.76,245.3,241.21,243.26,31130522,1572411600000,2019-10-30,10/30/2019,0.0,0.0,235.15428571428575,8.524830538743027,252.2039467917718,218.10462463679968,0.0,0.0
22,AAPL,247.24,249.17,237.26,248.76,34790520,1572498000000,2019-10-31,10/31/2019,0.0,0.0,236.57333333333332,8.16709148554939,252.9075163044321,220.23915036223454,0.0,0.0
23,AAPL,249.54,255.93,249.16,255.82,37781334,1572584400000,2019-11-01,11/01/2019,0.0,0.0,238.24,8.36050536750022,254.96101073500046,221.51898926499956,1.0,0.0
24,AAPL,257.33,257.845,255.38,257.5,25817952,1572847200000,2019-11-04,11/04/2019,0.0,0.0,239.69190476190474,8.940154148026542,257.5722130579578,221.81159646585166,1.0,0.0
25,AAPL,257.05,258.19,256.32,257.13,19974427,1572933600000,2019-11-05,11/05/2019,-0.0014368932038835128,-0.0014368932038835128,241.12380952380954,9.21952248014531,259.56285448410017,222.6847645635189,1.0,0.0
26,AAPL,256.77,257.49,255.365,257.24,18966124,1573020000000,2019-11-06,11/06/2019,0.00042779916773621763,-0.001009094036147295,242.68761904761902,9.024084942398263,260.7357889324156,224.6394491628225,1.0,0.0
27,AAPL,258.74,260.35,258.11,259.43,23735083,1573106400000,2019-11-07,11/07/2019,0.008513450474265268,0.007504356438117973,244.2304761904762,8.982872300211373,262.19622079089896,226.26473159005346,1.0,0.0
28,AAPL,258.69,260.44,256.85,260.14,17520495,1573192800000,2019-11-08,11/08/2019,0.0027367690706548184,0.010241125508772791,245.6614285714286,9.01110330964765,263.68363519072386,227.63922195213328,1.0,0.0
29,AAPL,258.3,262.47,258.28,262.2,20507459,1573452000000,2019-11-11,11/11/2019,0.007918812946874769,0.018159938455647562,246.89904761904762,9.42345154641435,265.74595071187633,228.0521445262189,1.0,0.0
30,AAPL,261.55,262.79,260.92,261.96,21847226,1573538400000,2019-11-12,11/12/2019,-0.0009153318077803551,0.017244606647867207,248.14142857142858,9.61459166356756,267.3706118985637,228.91224524429344,1.0,0.0
31,AAPL,261.13,264.78,261.07,264.47,25817593,1573624800000,2019-11-13,11/13/2019,0.009581615513819086,0.026826222161686293,249.52952380952385,9.773887904099615,269.0772996177231,229.98174800132463,1.0,0.0
32,AAPL,263.75,264.88,262.1,262.64,22395556,1573711200000,2019-11-14,11/14/2019,-0.006919499376110866,0.019906722785575426,250.8757142857143,9.52521473323755,269.92614375218943,231.82528481923922,1.0,0.0
33,AAPL,263.68,265.78,263.01,265.76,25093666,1573797600000,2019-11-15,11/15/2019,0.011879378617118507,0.03178610140269393,252.3271428571429,9.350589362632249,271.0283215824074,233.6259641318784,1.0,0.0
34,AAPL,265.8,267.43,264.23,267.1,21700897,1574056800000,2019-11-18,11/18/2019,0.005042143287176519,0.03682824468987045,253.7885714285715,9.134279000399696,272.0571294293709,235.52001342777208,1.0,0.0
35,AAPL,267.9,268.0,265.3926,266.29,19069597,1574143200000,2019-11-19,11/19/2019,-0.0030325720703856317,0.033795672619484816,255.01619047619053,8.99171367214864,272.9996178204878,237.03276313189326,1.0,0.0
36,AAPL,265.54,266.083,260.4,263.19,26609919,1574229600000,2019-11-20,11/20/2019,-0.01164144353899892,0.022154229080485897,256.122380952381,8.460034813617439,273.04245057961583,239.2023113251461,1.0,0.0
37,AAPL,263.69,264.005,261.18,262.01,30348778,1574316000000,2019-11-21,11/21/2019,-0.004483453018731741,0.017670776061754156,257.0190476190476,8.00536813941864,273.0297838978849,241.00831134021035,1.0,0.0
38,AAPL,262.59,263.18,260.84,261.78,16331263,1574402400000,2019-11-22,11/22/2019,-0.0008778290904927987,0.01679294697126136,257.88571428571424,7.443130101931965,272.77197448957816,242.9994540818503,1.0,0.0
39,AAPL,262.71,266.44,262.52,266.37,21029517,1574661600000,2019-11-25,11/25/2019,0.017533807013522928,0.03432675398478428,258.8280952380952,7.188594868990479,273.2052849760762,244.45090550011426,1.0,0.0
40,AAPL,266.94,267.16,262.5,264.29,26334882,1574748000000,2019-11-26,11/26/2019,-0.007808687164470414,0.02651806682031387,259.5538095238095,6.916210289017015,273.3862301018435,245.72138894577546,1.0,0.0
41,AAPL,265.58,267.98,265.31,267.84,16386122,1574834400000,2019-11-27,11/27/2019,0.013432214612735837,0.039950281433049704,260.7228571428571,6.050324902728073,272.82350694831325,248.62220733740094,1.0,0.0
42,AAPL,266.6,268.0,265.9,267.25,11654363,1575007200000,2019-11-29,11/29/2019,-0.0022028076463559403,0.03774747378669376,261.86523809523806,4.703058174260257,271.2713544437586,252.45912174671753,1.0,0.0
