,bollinger_daily,williams_r_daily,bollinger,williams_r
21,-0.0,0.003019567066166377,-0.0,0.003019567066166377
22,0.0,-0.0014897362409991024,0.0,0.0015298308251672746
23,-0.0063505671281099095,-0.0063505671281099095,-0.0063505671281099095,-0.004820736302942635
24,-0.0015296545255512552,-0.0015296545255512552,-0.007880221653661165,-0.006350390828493891
25,0.0031777003234107924,0.0031777003234107924,-0.0047025213302503725,-0.0031726905050830983
26,0.00722976761712312,0.00722976761712312,0.0025272462868727473,0.0040570771120400214
27,-0.0002516227165848676,-0.0002516227165848676,0.0022756235702878795,0.0038054543954551536
28,0.0005394079446580892,0.0005394079446580892,0.0028150315149459686,0.004344862340113243
29,-0.010299104043587066,-0.010299104043587066,-0.0074840725286410975,-0.005954241703473823
30,0.001042364700800594,0.001042364700800594,-0.006441707827840503,-0.004911877002673229
31,-0.0025730992238838803,-0.0025730992238838803,-0.009014807051724383,-0.007484976226557109
32,0.00011798813356094229,0.00011798813356094229,-0.00889681891816344,-0.007366988092996167
33,-0.004158862645979132,-0.004158862645979132,-0.013055681564142572,-0.011525850738975298
34,0.0018256446352649073,0.0018256446352649073,-0.011230036928877665,-0.00970020610371039
35,-0.005482236490967194,-0.005482236490967194,-0.01671227341984486,-0.015182442594677584
36,0.002226102206546194,0.002226102206546194,-0.014486171213298666,-0.01295634038813139
37,0.005074649107392562,0.005074649107392562,-0.009411522105906104,-0.007881691280738828
38,-0.0030704313400294115,-0.0030704313400294115,-0.012481953445935515,-0.010952122620768239
39,-0.00041669790364156023,-0.00041669790364156023,-0.012898651349577074,-0.011368820524409799
40,-0.0014505898680454018,-0.0014505898680454018,-0.014349241217622476,-0.0128194103924552
41,0.006120786669103603,0.006120786669103603,-0.008228454548518872,-0.006698623723351597
42,-0.0,-0.0,-0.008228454548518872,-0.006698623723351597
43,0.0,0.0,-0.008228454548518872,-0.006698623723351597
44,-0.0,-0.0,-0.008228454548518872,-0.006698623723351597
45,-0.017905364513560416,-0.017905364513560416,-0.02613381906207929,-0.024603988236912015
46,8.627892350089307e-05,8.627892350089307e-05,-0.026047540138578396,-0.024517709313411122
47,-0.00535175158831724,-0.00535175158831724,-0.03139929172689564,-0.029869460901728363
48,0.004414130929596705,0.004414130929596705,-0.026985160797298933,-0.02545532997213166
49,-0.02379809286762772,-0.02379809286762772,-0.050783253664926656,-0.04925342283975938
50,0.008176135434584212,0.008176135434584212,-0.042607118230342446,-0.04107728740517517
51,0.0045420852010384415,0.0045420852010384415,-0.038065033029304,-0.036535202204136724
52,0.008369463371193847,0.008369463371193847,-0.029695569658110155,-0.028165738832942877
53,-0.0038155245776081,-0.0038155245776081,-0.033511094235718256,-0.03198126341055098
54,-0.003264229545101736,-0.003264229545101736,-0.03677532378081999,-0.03524549295565271
55,0.007688101861831282,0.007688101861831282,-0.029087221918988708,-0.02755739109382143
56,-0.003892236938224271,-0.003892236938224271,-0.03297945885721298,-0.0314496280320457
57,-0.011100710562111952,-0.011100710562111952,-0.04408016941932493,-0.042550338594157654
58,0.0037354645632338202,0.0037354645632338202,-0.04034470485609111,-0.03881487403092383
59,-0.009298945039763244,-0.009298945039763244,-0.049643649895854354,-0.048113819070687076
60,-0.008732893430248967,-0.008732893430248967,-0.05837654332610332,-0.05684671250093604
61,0.0017300800123530927,0.0017300800123530927,-0.05664646331375023,-0.05511663248858295
62,-0.014097873644047194,-0.014097873644047194,-0.07074433695779742,-0.06921450613263014
63,0.00019102287078967732,0.00019102287078967732,-0.07055331408700774,-0.06902348326184046
64,0.020644840705735145,0.0,-0.04990847338127259,-0.06902348326184046
65,0.008186844659161594,0.0,-0.041721628722111,-0.06902348326184046
66,0.0,-0.007090559778489879,-0.041721628722111,-0.07611404304033034
67,0.0,-0.010236101576018111,-0.041721628722111,-0.08635014461634845
68,0.0,-0.003030342652680372,-0.041721628722111,-0.08938048726902882
69,-0.0,0.000543686227530822,-0.041721628722111,-0.088836801041498
70,-0.0,0.001676859458973988,-0.041721628722111,-0.08715994158252402
71,0.0,-0.003920019845790189,-0.041721628722111,-0.0910799614283142
72,-0.0,0.0006573065265804146,-0.041721628722111,-0.09042265490173379
73,0.0,-0.0008785075953481613,-0.041721628722111,-0.09130116249708195
74,0.0,-0.013518788469104785,-0.041721628722111,-0.10481995096618674
75,0.0,-0.0014532460462190506,-0.041721628722111,-0.10627319701240578
76,0.0,-0.009401219438575319,-0.041721628722111,-0.1156744164509811
77,-0.0,0.0012723374501708079,-0.041721628722111,-0.1144020790008103
78,0.0,-0.0003146883798000169,-0.041721628722111,-0.11471676738061032
79,-0.0,0.006709123484861441,-0.041721628722111,-0.10800764389574888
80,-0.0,0.0004294219988913425,-0.041721628722111,-0.10757822189685753
81,-0.0,0.0003858876037284901,-0.041721628722111,-0.10719233429312905
82,0.0,-0.002766314382732187,-0.041721628722111,-0.10995864867586123
83,0.0,-0.004416124905783414,-0.041721628722111,-0.11437477358164465
84,0.0,-0.002591940946546943,-0.041721628722111,-0.11696671452819159
85,0.0,-0.0066943836292985195,-0.041721628722111,-0.1236610981574901
86,-0.0,0.0016272661870504013,-0.041721628722111,-0.1220338319704397
87,-0.0,0.004307926482194343,-0.041721628722111,-0.11772590548824535
88,-0.0,0.000844970572699792,-0.041721628722111,-0.11688093491554556
89,0.0,-0.002864040098630535,-0.041721628722111,-0.1197449750141761
90,0.0,-0.008483960157314169,-0.041721628722111,-0.12822893517149025
91,-0.009005777422376795,-0.009005777422376795,-0.05072740614448779,-0.13723471259386705
92,-0.0009926397964166078,-0.0009926397964166078,-0.0517200459409044,-0.13822735239028366
93,0.0008600154340410852,0.0008600154340410852,-0.050860030506863316,-0.1373673369562426
94,0.004235543368030395,0.004235543368030395,-0.046624487138832924,-0.1331317935882122
95,-0.00011466227935564812,-0.00011466227935564812,-0.046739149418188575,-0.13324645586756784
96,0.0025262298063599307,0.0025262298063599307,-0.04421291961182865,-0.1307202260612079
97,-0.0006518759716163074,-0.0006518759716163074,-0.04486479558344495,-0.1313721020328242
98,-0.006524720665664225,-0.006524720665664225,-0.051389516249109174,-0.13789682269848844
99,0.0028965666476086366,0.0028965666476086366,-0.04849294960150054,-0.13500025605087979
100,0.0047301198603782535,0.0047301198603782535,-0.043762829741122285,-0.13027013619050154
101,-0.0018963482198769662,-0.0018963482198769662,-0.04565917796099925,-0.1321664844103785
