,Date,term_5,term_20,term_60,acc_dist_index,chaikin_money_flow,ease_of_move,williams_r,rel_strength,predict_term_5,predict_term_20,predict_term_60
21,4/2/2019,4.0,4.0,0.0,1270775201.019558,0.19452803206293706,-178.17631969815216,-11.200195958661627,62.83180388620748,3.0,4.0,0.0
22,4/3/2019,3.0,4.0,0.0,1300341309.8543875,0.2228380648403234,2036.5008232085622,-7.037954241965449,63.79610085308273,3.0,1.0,0.0
23,4/4/2019,4.0,4.0,0.0,1497647892.7419102,0.26355401739595846,7628.819074190165,-1.3899245482803693,67.65434400751028,4.0,4.0,0.0
24,4/5/2019,2.0,2.0,0.0,1481112113.4870932,0.22645854584817282,6273.905701916822,-5.611000502156091,68.52982795800327,2.0,2.0,0.0
25,4/8/2019,3.0,2.0,0.0,1693602284.61176,0.21620447142160873,-5755.066640839209,-13.139908101289704,64.61142050857185,3.0,2.0,0.0
26,4/9/2019,4.0,2.0,0.0,1611129993.2695048,0.2349555910474763,-7065.901099917189,-30.21492381843714,56.69404530419823,4.0,2.0,0.0
27,4/10/2019,4.0,2.0,0.0,1617866328.251491,0.22561700162092813,-1032.5133122877878,-29.62494642971814,56.890608754202745,4.0,2.0,0.0
28,4/11/2019,4.0,2.0,0.0,1609807201.3766608,0.2101249776823424,-721.535779326044,-30.89000934215131,56.30050432565401,4.0,2.0,0.0
29,4/12/2019,3.0,1.0,0.0,1837655538.8177533,0.2124542066947318,7789.794135521186,-7.08551960208463,63.979005530415634,3.0,1.0,0.0
30,4/15/2019,4.0,1.0,0.0,1902996587.0915267,0.16931418404441578,-110.9922510640663,-9.677182012423824,62.76458364387288,3.0,4.0,0.0
31,4/16/2019,3.0,1.0,0.0,1851867301.732285,0.1926556642893564,4121.06081021059,-8.181239187809224,64.55147779453529,3.0,1.0,0.0
32,4/17/2019,3.0,1.0,0.0,1872753545.0527482,0.21898265884141033,-519.7332658140637,-10.69400438990789,64.39847452162923,3.0,1.0,0.0
33,4/18/2019,3.0,1.0,0.0,2024808837.286065,0.20246580511275317,3654.237159304761,-7.9433995230501315,67.33694305676433,3.0,1.0,0.0
34,4/22/2019,3.0,1.0,0.0,2050521675.066953,0.28361033373212685,-716.5043279622406,-16.92553701342447,64.79805707033273,3.0,1.0,0.0
35,4/23/2019,3.0,1.0,0.0,2234003307.881215,0.3028326229806252,5798.163745695791,-6.247571131679222,68.61757782752869,3.0,4.0,0.0
36,4/24/2019,2.0,0.0,0.0,2032937610.2040596,0.2727314618208242,1102.1118627552482,-15.616462449896973,65.49305357806634,2.0,0.0,0.0
37,4/25/2019,3.0,1.0,0.0,2134471204.0608053,0.27994020637658196,-15882.019578950296,-36.92635486526004,58.92106440583025,3.0,1.0,0.0
38,4/26/2019,2.0,1.0,0.0,2450792712.7333956,0.3035247889799209,2126.2817177883553,-24.098172461610744,61.43016424075875,2.0,1.0,0.0
39,4/29/2019,2.0,0.0,0.0,2401223678.5618467,0.25385242962795573,2739.1466433411338,-22.351873964568178,61.77246908494246,2.0,0.0,0.0
40,4/30/2019,1.0,0.0,0.0,2667630456.0008917,0.25798930352443006,-2566.439110682218,-16.270205571425876,63.00390023977216,2.0,0.0,0.0
41,5/1/2019,1.0,0.0,0.0,2372467632.2567406,0.19631222558280798,3560.2499073724975,-41.9691252095334,54.948832912212104,1.0,1.0,0.0
42,5/2/2019,1.0,0.0,0.0,2352054372.7730045,0.18688582512854,-22926.303148080046,-75.2852415729701,49.79523376527503,1.0,0.0,0.0
43,5/3/2019,1.0,0.0,0.0,2510339133.255581,0.17944605328916483,8942.450481849088,-37.04638131816408,56.82274418824652,1.0,1.0,0.0
44,5/6/2019,1.0,0.0,0.0,2745000242.5629935,0.22185541769662462,-30853.33649698449,-38.893642245487946,54.074639849361645,1.0,0.0,0.0
45,5/7/2019,1.0,0.0,0.0,2651198651.6541595,0.16503225638733787,-32260.696048142803,-80.64784551724141,39.443619750896794,1.0,1.0,6.0
46,5/8/2019,2.0,1.0,6.0,2563144352.7077055,0.163170107316698,-2444.8128302116174,-80.40064662068978,39.527007452765915,1.0,1.0,6.0
47,5/9/2019,2.0,1.0,6.0,2794914413.932195,0.1972887044981839,-33221.03558146119,-73.6147476852696,36.197120412286985,2.0,1.0,6.0
48,5/10/2019,2.0,1.0,6.0,3006983449.3815393,0.23097563704614618,8104.299708625549,-61.46242893614804,40.6169122094335,2.0,1.0,6.0
49,5/13/2019,4.0,1.0,6.0,2860010315.573535,0.16925422810860002,-33413.38344574351,-93.01371619232943,28.92991134980555,4.0,1.0,6.0
50,5/14/2019,4.0,5.0,6.0,2851511123.9921074,0.15597233106417724,14768.112181340606,-78.8980128897448,35.62063534940397,1.0,5.0,6.0
51,5/15/2019,4.0,5.0,6.0,3013546021.1442714,0.19202316807037506,-435.69749944355726,-70.9922072335172,39.07983497424177,4.0,1.0,6.0
52,5/16/2019,2.0,1.0,6.0,3104926744.17276,0.20526435717641453,24109.74093616398,-56.3584243644709,44.97362915442981,2.0,1.0,6.0
53,5/17/2019,2.0,1.0,6.0,3028350477.273973,0.16855566136883146,-2217.4778872857905,-63.08560260306355,42.918046918991855,2.0,1.0,6.0
54,5/20/2019,2.0,1.0,6.0,3097873434.429893,0.17453651860146713,-10060.518321800075,-68.81882963555759,41.19013719545009,2.0,1.0,6.0
55,5/21/2019,1.0,1.0,6.0,3266674204.4230127,0.1735598840562758,8315.289341046975,-50.107072554935584,46.62310998227049,1.0,1.0,6.0
